 "ZEIT[h]" "ZRET  1" "ZRETO  1"
  161.333   140.600   140.600
  161.500   140.600   140.600
  161.667   140.600   140.600
  161.833   140.600   140.600
  162.000   140.600   140.600
  162.167   140.600   140.600
  162.333   140.600   140.600
  162.500   140.600   140.600
  162.667   140.600   140.600
  162.833   140.600   140.600
  163.000   140.600   140.600
  163.167   140.600   140.600
  163.333   140.600   140.600
  163.500   140.600   140.600
  163.667   140.600   140.600
  163.833   140.600   140.600
  164.000   140.600   140.600
  164.167   140.600   140.600
  164.333   140.600   140.600
  164.500   140.600   140.600
  164.667   140.600   140.600
  164.833   140.600   140.600
  165.000   140.600   140.600
  165.167   140.600   140.600
  165.333   140.600   140.600
  165.500   140.600   140.600
  165.667   140.600   140.600
  165.833   140.600   140.600
  166.000   140.600   140.600
  166.167   140.600   140.600
  166.333   140.600   140.600
  166.500   140.600   140.600
  166.667   140.600   140.600
  166.833   140.600   140.600
  167.000   140.600   140.600
  167.167   140.600   140.600
  167.333   140.600   140.600
  167.500   140.600   140.600
  167.667   140.600   140.600
  167.833   140.600   140.600
  168.000   140.600   140.600
  168.167   140.600   140.600
  168.333   140.600   140.600
  168.500   140.600   140.600
  168.667   140.600   140.600
  168.833   140.600   140.600
  169.000   140.600   140.600
  169.167   140.600   140.600
  169.333   140.600   140.600
  169.500   140.600   140.600
  169.667   140.600   140.600
  169.833   140.600   140.600
  170.000   140.600   140.600
  170.167   140.600   140.600
  170.333   140.600   140.600
  170.500   140.600   140.600
  170.667   140.600   140.600
  170.833   140.600   140.600
  171.000   140.600   140.600
  171.167   140.600   140.600
  171.333   140.600   140.600
  171.500   140.600   140.600
  171.667   140.600   140.600
  171.833   140.600   140.600
  172.000   140.600   140.600
  172.167   140.600   140.600
  172.333   140.600   140.600
  172.500   140.600   140.600
  172.667   140.600   140.600
  172.833   140.600   140.600
  173.000   140.600   140.600
  173.167   140.600   140.600
  173.333   140.600   140.600
  173.500   140.600   140.600
  173.667   140.600   140.600
  173.833   140.600   140.600
  174.000   140.600   140.600
  174.167   140.600   140.600
  174.333   140.600   140.600
  174.500   140.600   140.600
  174.667   140.600   140.600
  174.833   140.600   140.600
  175.000   140.600   140.600
  175.167   140.600   140.600
  175.333   140.600   140.600
  175.500   140.600   140.600
  175.667   140.600   140.600
  175.833   140.600   140.600
  176.000   140.600   140.600
  176.167   140.600   140.600
  176.333   140.600   140.600
  176.500   140.600   140.600
  176.667   140.600   140.600
  176.833   140.600   140.600
  177.000   140.600   140.600
  177.167   140.600   140.600
  177.333   140.600   140.600
  177.500   140.600   140.600
  177.667   140.600   140.600
  177.833   140.600   140.600
  178.000   140.600   140.600
  178.167   140.600   140.600
  178.333   140.600   140.600
  178.500   140.600   140.600
  178.667   140.600   140.600
  178.833   140.600   140.600
  179.000   140.600   140.600
  179.167   140.600   140.600
  179.333   140.600   140.600
  179.500   140.600   140.600
  179.667   140.600   140.600
  179.833   140.600   140.600
  180.000   140.600   140.600
  180.167   140.600   140.600
  180.333   140.600   140.600
  180.500   140.600   140.600
  180.667   140.600   140.600
  180.833   140.600   140.600
  181.000   140.600   140.600
  181.167   140.600   140.600
  181.333   140.600   140.600
  181.500   140.600   140.600
  181.667   140.600   140.600
  181.833   140.600   140.600
  182.000   140.600   140.600
  182.167   140.600   140.600
  182.333   140.600   140.600
  182.500   140.600   140.600
  182.667   140.600   140.600
  182.833   140.600   140.600
  183.000   140.600   140.600
  183.167   140.600   140.600
  183.333   140.600   140.600
  183.500   140.600   140.600
  183.667   140.600   140.600
  183.833   140.600   140.600
  184.000   140.600   140.600
  184.167   140.600   140.600
  184.333   140.600   140.600
  184.500   140.600   140.600
  184.667   140.600   140.600
  184.833   140.600   140.600
  185.000   140.600   140.600
  185.167   140.600   140.600
  185.333   140.600   140.600
  185.500   140.600   140.600
  185.667   140.600   140.600
  185.833   140.600   140.600
  186.000   140.600   140.600
  186.167   140.600   140.600
  186.333   140.600   140.600
  186.500   140.600   140.600
  186.667   140.600   140.600
  186.833   140.600   140.600
  187.000   140.600   140.600
  187.167   140.600   140.600
  187.333   140.600   140.600
  187.500   140.600   140.600
  187.667   140.600   140.600
  187.833   140.600   140.600
  188.000   140.600   140.600
  188.167   140.600   140.600
  188.333   140.600   140.600
  188.500   140.600   140.600
  188.667   140.600   140.600
  188.833   140.600   140.600
  189.000   140.600   140.600
  189.167   140.600   140.600
  189.333   140.600   140.600
  189.500   140.600   140.600
  189.667   140.600   140.600
  189.833   140.600   140.600
  190.000   140.600   140.600
  190.167   140.600   140.600
  190.333   140.600   140.600
  190.500   140.600   140.600
  190.667   140.600   140.600
  190.833   140.600   140.600
  191.000   140.600   140.600
  191.167   140.600   140.600
  191.333   140.600   140.600
  191.500   140.600   140.600
  191.667   140.600   140.600
  191.833   140.600   140.600
  192.000   140.600   140.600
  192.167   140.600   140.600
  192.333   140.600   140.600
  192.500   140.600   140.600
  192.667   140.600   140.600
  192.833   140.600   140.600
  193.000   140.600   140.600
  193.167   140.600   140.600
  193.333   140.600   140.600
  193.500   140.600   140.600
  193.667   140.600   140.600
  193.833   140.600   140.600
  194.000   140.600   140.600
  194.167   140.600   140.600
  194.333   140.600   140.600
  194.500   140.600   140.600
  194.667   140.600   140.600
  194.833   140.600   140.600
  195.000   140.600   140.600
  195.167   140.600   140.600
  195.333   140.600   140.600
  195.500   140.600   140.600
  195.667   140.600   140.600
  195.833   140.600   140.600
  196.000   140.600   140.600
  196.167   140.600   140.600
  196.333   140.600   140.600
  196.500   140.600   140.600
  196.667   140.600   140.600
  196.833   140.600   140.600
  197.000   140.600   140.600
  197.167   140.600   140.600
  197.333   140.600   140.600
  197.500   140.600   140.600
  197.667   140.600   140.600
  197.833   140.600   140.600
  198.000   140.600   140.600
  198.167   140.600   140.600
  198.333   140.600   140.600
  198.500   140.600   140.600
  198.667   140.600   140.600
  198.833   140.600   140.600
  199.000   140.600   140.600
  199.167   140.600   140.600
  199.333   140.600   140.600
  199.500   140.600   140.600
  199.667   140.600   140.600
  199.833   140.600   140.600
  200.000   140.600   140.600
  200.167   140.600   140.600
  200.333   140.600   140.600
  200.500   140.600   140.600
  200.667   140.600   140.600
  200.833   140.600   140.600
  201.000   140.600   140.600
  201.167   140.600   140.600
  201.333   140.600   140.600
  201.500   140.600   140.600
  201.667   140.600   140.600
  201.833   140.600   140.600
  202.000   140.600   140.600
  202.167   140.600   140.600
  202.333   140.600   140.600
  202.500   140.600   140.600
  202.667   140.600   140.600
  202.833   140.600   140.600
  203.000   140.600   140.600
  203.167   140.600   140.600
  203.333   140.600   140.600
  203.500   140.600   140.600
  203.667   140.600   140.600
  203.833   140.600   140.600
  204.000   140.600   140.600
  204.167   140.600   140.600
  204.333   140.600   140.600
  204.500   140.600   140.600
  204.667   140.600   140.600
  204.833   140.600   140.600
  205.000   140.600   140.600
  205.167   140.600   140.600
  205.333   140.600   140.600
  205.500   140.600   140.600
  205.667   140.600   140.600
  205.833   140.600   140.600
  206.000   140.600   140.600
  206.167   140.600   140.600
  206.333   140.600   140.600
  206.500   140.600   140.600
  206.667   140.600   140.600
  206.833   140.600   140.600
  207.000   140.600   140.600
  207.167   140.600   140.600
  207.333   140.600   140.600
  207.500   140.600   140.600
  207.667   140.600   140.600
  207.833   140.600   140.600
  208.000   140.600   140.600
  208.167   140.600   140.600
  208.333   140.600   140.600
  208.500   140.600   140.600
  208.667   140.600   140.600
  208.833   140.600   140.600
  209.000   140.600   140.600
  209.167   140.600   140.600
  209.333   140.600   140.600
  209.500   140.600   140.600
