"IAB","ITYPE","WIDTH","HEIT","ZTR","ZTL","XL","ZO","RNI","DZERO","HZERO","QZERO","ZS","CKS","HR0","HR1","RNV1","HR2","RNV2","HR3","RNV3","HR4","RNV4","HR5","RNV5","HR6","RNV6","HR7","RNV7","SF","X","Y","ID","ZSHIFT"                                                                                     
3421,4,0.00,5.00,0.00,0.00,28716.0,111.11,0.0400,3.369,114.479,12.578,3.70,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00057233,3472923.34,5446989.06,10488,0.00
2421,4,0.00,5.49,0.00,0.00,28715.0,111.11,0.0400,3.361,114.471,12.577,5.46,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00057564,3472922.84,5446989.93,10488,0.00
1421,2,5.00,3.00,0.00,0.00,28714.0,111.11,0.0400,3.361,114.471,12.577,5.46,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00122591,3472922.34,5446990.80,10488,0.00
421,2,5.00,3.00,0.00,0.00,28713.0,111.11,0.0357,2.266,113.376,12.577,3.70,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00124701,3472921.84,5446991.66,10488,0.00
566,4,5.50,5.00,0.00,0.00,28712.0,110.96,0.0357,2.445,113.405,12.577,3.88,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00049375,3472921.34,5446992.53,10488,0.00
9421,5,5.50,5.00,0.00,0.00,28707.0,111.09,0.0357,2.302,113.397,12.578,3.24,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00070652,3472918.84,5446996.86,10488,0.00
8421,5,5.50,5.00,0.00,0.00,28701.0,111.26,0.0357,2.124,113.380,12.578,2.79,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00100019,3472915.84,5447002.06,10488,0.00
565,4,5.50,5.00,0.00,0.00,28696.0,111.39,0.0357,1.967,113.357,12.578,2.44,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00145782,3472912.93,5447006.10,10488,0.00
564,4,5.50,5.00,0.00,0.00,28694.0,111.45,0.0357,1.920,113.370,12.578,2.61,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00109225,3472911.69,5447007.68,10488,0.00
563,9,5.50,5.00,0.00,0.00,28693.0,111.45,0.0357,1.893,113.343,12.578,2.67,0.000,0.000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.000,0.0000,0.00302791,3472911.07,5447008.46,10488,0.00
